Query	2	4	8	10	15	20	25	30	50	100	
black comedy	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
blockbuster	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
bollywood	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
breaking the fourth wall	1.0	0.907637933822	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
business	1.0	1.0	0.770058308514	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
caper	1.0	0.892088660555	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
car accident	1.0	1.0	0.904705016926	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
car chase	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
car crash	1.0	1.0	0.927820746989	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
character name in title	1.0	0.604040502635	0.89233823992	0.881042337335	1.0	1.0	1.0	1.0	1.0	1.0	
character's point of view camera shot	0.770294892321	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
chick flick	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
coming of age	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
competition	0.614932235525	0.853003796667	0.894802099216	0.956936816545	1.0	1.0	1.0	1.0	1.0	1.0	
conspiracy	1.0	0.683658153147	1.0	0.958722562703	1.0	1.0	1.0	1.0	1.0	1.0	
corruption	1.0	0.916751615127	0.954564890759	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
criminal mastermind	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
cult	1.0	0.920022824463	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
cult film	1.0	0.920022824463	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
cyberpunk	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
dark hero	1.0	1.0	1.0	0.942904258665	1.0	1.0	1.0	1.0	1.0	1.0	
deus ex machina	0.634818001766	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
dialogue driven	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
dialogue driven storyline	1.0	1.0	0.965696495776	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
directed by star	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
director cameo	0.769574372284	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
double cross	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
dream sequence	1.0	0.873314690739	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
dystopia	1.0	1.0	0.871793615156	0.939648130998	1.0	1.0	1.0	1.0	1.0	1.0	
ensemble cast	1.0	1.0	1.0	0.9467534737	1.0	1.0	1.0	1.0	1.0	1.0	
epic	0.465342792673	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
espionage	0.846761089742	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
experimental	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
experimental film	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
fairy tale	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
famous line	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
famous opening theme	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
famous score	1.0	0.887544399152	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
fantasy sequence	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
farce	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
father daughter relationship	1.0	0.862410150875	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
father son relationship	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
femme fatale	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
fictional biography	1.0	0.824678521322	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
flashback	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
french new wave	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
futuristic	1.0	0.745574987378	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
good versus evil	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
heist	0.533096775583	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
hero	0.502703438638	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
high school	0.298996350272	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
husband wife relationship	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
idealism	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
independent film	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
investigation	1.0	0.87642564681	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
kidnapping	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
knight	1.0	0.790555194636	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
kung fu	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
macguffin	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
medieval times	0.557062806155	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
mockumentary	1.0	0.819919438319	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
monster	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
mother daughter relationship	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
mother son relationship	0.454103444702	1.0	0.754982734098	0.83440904208	1.0	1.0	1.0	1.0	1.0	1.0	
multiple actors playing same role	1.0	1.0	1.0	0.949823648459	1.0	1.0	1.0	1.0	1.0	1.0	
multiple endings	0.728709087394	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
multiple perspectives	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
multiple storyline	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
multiple time frames	1.0	0.891866279113	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
murder	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
musical number	0.431710773565	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
neo noir	0.602132493726	1.0	1.0	0.95254331966	1.0	1.0	1.0	1.0	1.0	1.0	
neorealism	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
ninja	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
no background score	1.0	0.740625673004	0.974018305814	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
